id,title,artist,language,genre,mood_tags,energy,tempo_bpm,valence,danceability,acousticness,year,description
11,Naalo Maimarapu,Mohana Bogaraju,telugu,telugu film,romantic;dreamy;melodic,0.48,88,0.62,0.52,0.68,2019,"Soft and unhurried, this 2019 Telugu film romance sits at a gentle tempo with warm acousticness and a dreamy quality that gives new or remembered love its proper haze."
12,Raanjhan,Sachet-Parampara; Parampara Tandon,hindi,hindi film,romantic;soulful;melodic,0.52,92,0.58,0.55,0.58,2024,"Parampara Tandon's vocal warmth defines this 2024 Hindi film track, mid-tempo and balanced between intimate and polished. Soulful without being overwrought — it lingers a little after it ends."
13,Ranjha,Jasleen Royal; B Praak; Romy,hindi,hindi indie,melancholic;romantic;emotional,0.45,82,0.42,0.48,0.72,2019,"Melancholic and acoustically rich, this 2019 Hindi indie track treats romantic loss with genuine emotional weight rather than commercial sheen. Low energy and slow tempo — no uplift attempted."
14,Ve Maahi,Arijit Singh; Asees Kaur,hindi,hindi film,romantic;soulful;patriotic,0.48,88,0.55,0.52,0.65,2019,"From the 2019 Hindi film Kesari, this soulful romantic duet weaves tenderness and longing into a warm acoustic setting with a measured, unhurried tempo. Grounded and genuinely felt."
15,What Makes You Beautiful,One Direction,english,pop,happy;upbeat;playful,0.82,125,0.88,0.78,0.18,2011,"The opening hook and fast tempo made this 2011 pop track a global phenomenon before most listeners finished the first chorus. High energy, low acousticness, and a valence that refuses to dip."
16,Chedhu Nijam,Geetha Madhuri; Vineeth Sreenivasan,telugu,telugu film,melancholic;romantic;soulful,0.42,85,0.38,0.45,0.72,2023,"Geetha Madhuri and Vineeth Sreenivasan navigate the quiet sorrow of this 2023 Telugu film duet with warmth rather than drama. High acousticness and slow tempo make the melancholy feel earned."
17,Adigaa,Karthik,telugu,telugu film,romantic;melodic;dreamy,0.52,95,0.65,0.58,0.62,2023,"Karthik's smooth delivery anchors this dreamy 2023 Telugu film romance at a comfortable mid-tempo with moderate acoustic warmth. Melodic rather than intense — it prioritizes feel over production density."
18,Aakasam Lona,Nutana Mohan,telugu,telugu film,dreamy;melodic;uplifting,0.48,92,0.62,0.52,0.68,2019,"Gentle uplift at an easy mid-tempo with warm acousticness — this 2019 Telugu film track leans organic over polished. Dreamy and quietly hopeful without being declarative about it."
19,Atu Itu Ooguthu,Sri Rama Chandra,telugu,telugu film,playful;upbeat;romantic,0.62,105,0.72,0.68,0.45,2012,"Playful and moderately upbeat, this 2012 Telugu film track moves at a fast-enough tempo to invite movement without demanding it. Balanced acousticness puts it comfortably in festive territory."
20,Ye Kadha,Jonita Gandhi,telugu,telugu film,romantic;melodic;soulful,0.52,92,0.62,0.55,0.58,2015,"Jonita Gandhi's clarity of tone gives this 2015 Telugu film track an emotionally open quality. Mid-tempo, balanced acousticness, sincere rather than showy — a clean melodic listen."
21,Konte Chooputho,Belli Raj; Deepa; James Vasanthan,telugu,telugu film,melodic;classical;romantic,0.45,88,0.58,0.48,0.75,2011,"Composed by James Vasanthan, this 2011 Telugu film romantic track carries a restrained classical warmth at a slow, deliberate tempo with high acousticness. Emotional texture over production gloss — built to last."
22,Nelluri Nerajana,A R Rahman,telugu,telugu film,classical;folk;emotional,0.52,95,0.55,0.52,0.72,1997,"Classical sensibility and folk texture meet in this 1997 Telugu film composition — A R Rahman at his most cross-cultural, with high acousticness and a mid-tempo that lets the earthy elements breathe."
23,A Thousand Years,Christina Perri,english,pop,romantic;emotional;dreamy,0.42,88,0.48,0.45,0.68,2011,"Slow and emotionally sincere, this 2011 romantic ballad built its following on sweeping feeling rather than production spectacle. Low energy and moderate acousticness give it a cinematic quality that travels well across contexts."
24,Night Changes,One Direction,english,pop,romantic;nostalgic;melodic,0.52,120,0.55,0.58,0.58,2014,"Nostalgia and wistful romance at a fast tempo that somehow reads as unhurried — this 2014 pop track is one of the more emotionally textured entries in the One Direction catalog. Acoustically warm for the genre."
25,Dandelions,Ruth B,english,indie pop,dreamy;romantic;hopeful,0.48,80,0.62,0.52,0.72,2017,"Spare production, slow tempo, and a hopeful romantic warmth that makes this 2017 indie pop track feel intimate and quietly earnest. High acousticness and low energy keep it in close-listening territory."
26,Sang Rahiyo,Jasleen Royal; Ujjwal Kashyap,hindi,hindi indie,romantic;soulful;melodic,0.45,85,0.55,0.48,0.75,2022,"Soulful and acoustically rich, this 2022 Hindi indie track moves at a slow, unhurried pace with an emotional sincerity that keeps it distinct from commercial Bollywood romantic songs. No embellishment needed."
27,Makhna,Yasser Desai; Asees Kaur,hindi,hindi film,romantic;melodic;soulful,0.48,90,0.58,0.52,0.65,2019,"The vocal interplay between Yasser Desai and Asees Kaur carries most of the appeal in this 2019 Hindi film romance — mid-tempo, moderately acoustic, warm and charming without overselling it."
28,Neeli Meghamulalo,Prithvi Harish; Kalyan Vasanth,telugu,telugu indie,peaceful;dreamy;melodic,0.38,82,0.58,0.45,0.78,2024,"High acousticness and low energy make this 2024 Telugu indie track feel like rain and open windows — peaceful, dreamy, and melodically unhurried. Built for focus or quiet."
29,Nijanga Nenena,Karthik,telugu,telugu film,romantic;melodic;soulful,0.48,92,0.62,0.52,0.65,2008,"Warm, melodically graceful, and easy to revisit — this 2008 Telugu film romantic track has the gentle pace and moderate acousticness typical of the era's soft-production approach. Soulful and nostalgic."
30,Oosupodu,Hemachandra,telugu,telugu film,dreamy;romantic;emotional,0.45,88,0.52,0.48,0.72,2017,"Dreamy and emotionally resonant, this 2017 Telugu film track moves at an unhurried pace with warm acoustic texture and a quiet vulnerability. The melody unfolds gently — romantic without melodrama, emotional without being heavy."
31,Yetu Pone,Kaala Bhairava,telugu,telugu film,melancholic;emotional;soulful,0.42,85,0.38,0.45,0.72,2019,"From the 2019 Telugu film Dear Comrade, Yetu Pone is a quietly devastating ballad that channels melancholy through a slow, acoustically warm arrangement. The sorrow feels earned rather than performed."
32,Vellipomaake,A R Rahman; Sid Sriram,telugu,telugu film,melancholic;soulful;emotional,0.38,82,0.32,0.42,0.75,2016,"From the 2016 Telugu film Janatha Garage, Vellipomaake marked Sid Sriram's breakout in Telugu film music — a hushed, emotionally raw ballad with very low energy and high acousticness. The quiet intensity is the point."
33,Ninnu Chuse Anandamlo,Anirudh Ravichander; Sid Sriram,telugu,telugu film,romantic;soulful;melodic,0.52,95,0.65,0.55,0.58,2019,"Sid Sriram's soulful vocal over Anirudh Ravichander's rhythmic production creates a mid-tempo Telugu film romance that feels both energized and emotionally sincere. Balanced acousticness keeps the warmth in without softening the groove."
34,Urike Urike,M M Srilekha; Sid Sriram; Ramya Behara,telugu,telugu film,romantic;melodic;dreamy,0.58,100,0.68,0.62,0.52,2022,"Three voices trading warmth and longing in a 2022 Telugu film romantic track — mid-tempo, balanced acousticness, and a melodic sincerity that keeps it emotionally genuine without being heavy. Easy to revisit."
35,Manasu Maree,Amit Trivedi; Shashaa Tirupati; Yazin Nizar,telugu,telugu film,romantic;melodic;uplifting,0.55,98,0.65,0.58,0.55,2020,"Shashaa Tirupati and Yazin Nizar's voices interweave over Amit Trivedi's warm, mid-tempo production in this 2020 Telugu film track. Melodically uplifting and balanced acoustically — heartfelt without tipping into sentimentality."
36,Paon Ki Jutti,Jyoti Nooran; Jaani,hindi,hindi folk pop,playful;upbeat;folk,0.72,115,0.78,0.78,0.38,2024,"Jyoti Nooran's powerful delivery anchors this 2024 Hindi folk-pop track — fast tempo, festive energy, and a playful folk exuberance that spills over into the production. Hard to sit still to."
37,Asha Pasham,Anurag Kulkarni; Sweekar Agasthi,telugu,telugu indie,melodic;emotional;soulful,0.45,88,0.52,0.48,0.72,2018,"Neither film music nor mainstream pop — this 2018 Telugu indie ballad operates at a slow-to-mid tempo with warm acousticness and an emotional sincerity that rewards close listening. Craft over commercial appeal."
38,Sada Nannu,Charulatha Mani,telugu,telugu classical,classical;devotional;peaceful,0.38,82,0.55,0.38,0.88,2018,"Near-full acousticness and a gentle, unhurried tempo make this 2018 Telugu classical devotional piece feel like an invitation to slow down completely. Reverential and calm — more about presence than melody."
39,Love Story,Taylor Swift,english,country pop,romantic;nostalgic;upbeat,0.65,120,0.72,0.62,0.35,2008,"Fast-tempo narrative romantic idealism with a bright, hook-forward production style that made this 2008 country-pop crossover a commercial landmark. Moderate acousticness gives it a warmth beyond pure pop sheen."
40,Love Me Like You Do,Ellie Goulding,english,pop,romantic;sensual;atmospheric,0.68,101,0.58,0.62,0.32,2015,"From the 2015 film Fifty Shades of Grey, this atmospheric pop track balances emotional weight with dance-pop momentum through an ethereal vocal and polished production. Glossy, cinematic, and somewhat euphoric."
41,Baby,Justin Bieber; Ludacris,english,pop,playful;upbeat;catchy,0.75,125,0.82,0.82,0.15,2010,"One of the most-streamed tracks of its era, this 2010 pop crossover is built entirely for accessibility — fast tempo, low acousticness, and a hook designed to stick after one listen. Unabashedly fun."
42,Perfect,Ed Sheeran,english,pop,romantic;melodic;sweet,0.48,95,0.62,0.52,0.62,2017,"Warm acousticness and a slow, graceful tempo make this 2017 romantic pop ballad a natural vehicle for emotional sincerity over spectacle. One of Ed Sheeran's most melodically direct compositions."
43,Shape of You,Ed Sheeran,english,pop,upbeat;catchy;playful,0.82,96,0.82,0.92,0.58,2017,"Loop-driven and irresistibly danceable, this 2017 pop track sits at the sweet spot between playful and polished. Despite moderate acousticness the production is primarily electronic in feel — high energy and made for movement."
44,Kumkumala,Pritam; Sid Sriram,telugu,telugu film,romantic;melodic;soulful,0.52,92,0.65,0.55,0.62,2023,"Pritam's melodically rich production and Sid Sriram's soulful delivery make this 2023 Telugu film track emotionally sincere without becoming heavy. Mid-tempo and acoustically warm — romantic without overreaching."
45,O Rangrez,Javed Bashir; Shreya Ghoshal; Shankar-Ehsaan-Loy,hindi,hindi film,romantic;soulful;classical,0.58,100,0.62,0.58,0.55,2013,"From the 2013 Hindi film Bhaag Milkha Bhaag, O Rangrez weaves classical warmth into a soulful romantic duet composed by Shankar-Ehsaan-Loy. Javed Bashir and Shreya Ghoshal's vocal exchange gives it genuine musical depth."
46,Gundu Sudhi,MM Keeravaani; Sunitha,telugu,telugu film,melodic;romantic;folk,0.55,95,0.62,0.58,0.58,2005,"From the 2005 Telugu film Chatrapathi, this melodic folk-inflected track composed by MM Keeravaani keeps the folk warmth accessible and the tempo comfortable. A nostalgic pick from mid-2000s Telugu film music."
47,Mental Madhilo,Jonita Gandhi; K Krishna Chaitanya; A R Rahman,telugu,telugu film,playful;upbeat;romantic,0.68,110,0.75,0.72,0.38,2015,"A R Rahman's characteristic melodic sensibility shows in this playful 2015 Telugu film track — fast enough to invite movement, light enough to keep the romance fun rather than earnest. Jonita Gandhi brings natural warmth."
48,Runaway,AURORA,english,indie pop,dreamy;atmospheric;emotional,0.52,92,0.42,0.48,0.58,2015,"Earned wide reach through sync placements and streaming, this 2015 indie pop track balances dreamy escapism and genuine emotional weight at a precise mid-tempo. The ethereal vocal quality is the defining element."
49,Kola Kalle Ilaa,Sid Sriram,telugu,telugu film,romantic;melodic;soulful,0.48,90,0.62,0.52,0.65,2021,"Sid Sriram's searching vocal quality gives this 2021 Telugu film romantic track its character — acoustically warm, mid-tempo, and emotionally patient. It rewards close listening rather than background play."
50,Apna Bana Le,Sachin-Jigar; Arijit Singh,hindi,hindi film,romantic;soulful;melodic,0.52,95,0.62,0.55,0.58,2022,"From the 2022 Hindi film Bhediya, Arijit Singh delivers this soulful Sachin-Jigar composition with the emotional directness he brings to Hindi ballads — mid-tempo, balanced acousticness, and genuinely felt."
51,Kalle Kalle,Priya Saraiya,hindi,hindi film,romantic;melodic;soulful,0.48,90,0.58,0.52,0.62,2021,"Priya Saraiya's vocal warmth carries this 2021 Hindi film romantic track at a gentle tempo without the distraction of heavy production. Soulful, honest, and a satisfying find beyond the mainstream."
52,People,Libianca; Cian Ducrot,english,pop,melancholic;emotional;soulful,0.55,92,0.42,0.55,0.52,2022,"Went viral for its emotionally raw treatment of personal struggle — Libianca's 2022 track shifts from controlled restraint to undeniable emotional power at a mid-tempo soulful pace. The production stays out of the way."
53,One Kiss,Calvin Harris; Dua Lipa,english,dance pop,upbeat;catchy;dance,0.85,124,0.72,0.88,0.05,2018,"Near-zero acousticness and a pounding 124 BPM make this 2018 dance-pop track exactly what it is — a peak-hour floor-filler built around Dua Lipa's irresistible central hook. Euphoric and unapologetic."
54,Nayan,Dhvani Bhanushali; Jubin Nautiyal,hindi,hindi film,romantic;melodic;upbeat,0.58,102,0.62,0.62,0.48,2022,"Light romantic energy at a moderate tempo — this 2022 Hindi film duet between Dhvani Bhanushali and Jubin Nautiyal keeps the production accessible and the feeling warm without tipping into sentimentality."
55,Manike,Yohani; Jubin Nautiyal; Tanishk Bagchi,hindi,hindi film,playful;upbeat;catchy,0.75,115,0.78,0.82,0.25,2022,"Originally a viral Sri Lankan hit, this Hindi film version from Thank God (2022) retains much of Yohani's playful energy inside a faster, commercially polished Bollywood arrangement. High danceability — the appeal travels."
56,Faded,Alan Walker,english,electronic,atmospheric;melancholic;dreamy,0.65,90,0.35,0.58,0.15,2015,"The signature melodic hook and atmospheric vocal turned this 2015 electronic track into a streaming phenomenon — melancholy made danceable at a mid-tempo that keeps the mood cinematic rather than celebratory."
57,Calm Down,Rema; Selena Gomez,english,afrobeats pop,upbeat;playful;romantic,0.78,107,0.82,0.88,0.22,2022,"Rema's 2022 afrobeats pop breakout — a Selena Gomez remix that brought it global — runs on an irresistible groove and breezy, flirtatious energy. Fast tempo, low acousticness, and a valence built for good moods."
58,Who Says,Selena Gomez; The Scene,english,pop,uplifting;empowering;upbeat,0.72,120,0.72,0.72,0.25,2011,"Fast-tempo and genuinely uplifting, this 2011 pop track delivers its empowerment message with enough energy and brightness to avoid cliché. Low acousticness and high valence — mood-lifting without being saccharine."
59,Scars To Your Beautiful,Alessia Cara,english,pop,uplifting;empowering;emotional,0.68,95,0.58,0.62,0.35,2015,"Alessia Cara walks the line between vulnerability and conviction in this 2015 pop track, making the empowerment feel earned rather than performed. Moderate energy and slight acoustic warmth keep the emotional sincerity intact."
60,Manasuna Edho Raagam,Chinmayi Sripada; Harris Jayaraj,telugu,telugu film,romantic;melodic;dreamy,0.52,95,0.62,0.55,0.62,2011,"Harris Jayaraj's melodic sensibility and Chinmayi Sripada's warm vocal make this 2011 Telugu film romantic track a comfortable, feel-good listen — mid-tempo, balanced acousticness, and gently dreamy throughout."
61,Soda Pop,Saja Boys; KPop Demon Hunters Cast,english,k-pop,upbeat;playful;catchy,0.85,128,0.85,0.88,0.08,2025,"Fast, polished, and unabashedly bubbly — this 2025 K-pop track runs on a high-tempo hook structure and near-zero acousticness. Playful and catchy by design, built for maximum immediate impact."
62,Golden,HUNTR/X; EJAE; AUDREY NUNA; Rei Ami,english,k-pop,energetic;upbeat;empowering;catchy,0.94,132,0.82,0.88,0.08,2025,"Near-maximum energy at 132 BPM with near-zero acousticness — this 2025 K-pop track layers vocal hooks with relentless momentum and an empowering anthemic quality. Built for high-stakes moments and high-volume listening."
63,Kalalo Kooda,Tanishk Bagchi; Sid Sriram; Vaishnavi Kovvuri,telugu,telugu film,romantic;melodic;soulful,0.52,95,0.62,0.55,0.58,2022,"Sid Sriram and Vaishnavi Kovvuri trade longing and warmth across this 2022 Telugu film romantic track — mid-tempo, balanced acousticness, and a melodic sincerity that keeps it emotionally genuine without being heavy."
64,Nagumomu Thaarale,Sid Sriram,telugu,telugu film,romantic;soulful;melodic,0.48,92,0.58,0.52,0.65,2022,"Deliberate and unhurried, this 2022 Telugu film track lets Sid Sriram's raw vocal quality lead without the support of dense production. Acoustically warm and emotionally open — it moves without rushing."
65,Naa Kosam,Sid Sriram,telugu,telugu film,romantic;soulful;melodic,0.52,95,0.62,0.55,0.62,2022,"Slightly more accessible than Sid Sriram's more intense Telugu film ballads, this 2022 track carries a warm mid-tempo groove and moderate acousticness that sits between sincere and celebratory. Versatile and easy to revisit."
66,Vaaste,Dhvani Bhanushali; Nikhil D'Souza,hindi,hindi pop,romantic;melodic;catchy,0.62,108,0.62,0.68,0.42,2019,"This 2019 Hindi pop standalone hit reached streaming numbers well beyond its origins — a catchy romantic hook, moderate acousticness, and easy vocal interplay between Dhvani Bhanushali and Nikhil D'Souza."
67,Swagatham Krishna,Niranjana Ramanan,telugu,telugu classical,classical;devotional;peaceful,0.42,85,0.58,0.42,0.88,2018,"The title means welcome in Telugu, and this 2018 classical devotional composition delivers that spirit — near-full acousticness and a gentle reverence that opens rather than closes. Peaceful and grounded."
68,Jaamurathiri,MM Keeravaani; SPB; K S Chithra,telugu,telugu film,dreamy;romantic;melodic,0.45,88,0.58,0.48,0.72,1991,"S P Balasubrahmanyam and K S Chithra's vocal pairing defines this dreamy 1991 Telugu film romantic track — composed by MM Keeravaani with warm acousticness and an unhurried melodic grace. A nostalgic gem."
69,O Cheliya,P Unnikrishnan,telugu,telugu film,romantic;melodic;soulful,0.58,102,0.68,0.62,0.52,1994,"P Unnikrishnan's warm, disciplined vocal anchors this 1994 Telugu film romantic track at a moderately upbeat tempo. Balanced acousticness and high valence give it a gently celebratory quality that holds across decades."
70,Oh Vaana Padithe,Sujatha; Malaysia Vasudevan; A R Rahman,telugu,telugu film,playful;upbeat;romantic,0.65,110,0.72,0.68,0.42,1997,"A R Rahman's 1997 Telugu film track delivered with easy charm and light energy by Sujatha and Malaysia Vasudevan — brisk tempo, moderate acousticness, and a breezy festive romance that doesn't overstay its welcome."
71,Aparanji Madanudi,Anuradha Sriram; A R Rahman,telugu,telugu film,classical;romantic;melodic,0.55,98,0.65,0.55,0.58,1997,"Classical warmth and melodic accessibility in equal measure — this 1997 Telugu film track lets Anuradha Sriram's warm vocal style meet a mid-tempo A R Rahman arrangement with balanced acousticness. Sophisticated but immediately appealing."
72,Kannulatho Choseve,A R Rahman,telugu,telugu film,romantic;melodic;soulful,0.58,100,0.68,0.62,0.48,1998,"A R Rahman's 1998 Telugu film composition carries his cross-cultural melodic sensibility into a soulful romantic setting — mid-tempo, moderate acousticness, and an emotional warmth that holds up well over time."
73,Mukundha Mukundha,Sadhana Sargam; Kamal Haasan,telugu,telugu film,devotional;classical;uplifting,0.62,105,0.65,0.58,0.55,2008,"From the 2008 multilingual film Dasavathaaram, this devotional classical composition delivers joyful reverence at a controlled energetic tempo — distinct from the contemplative pace of most devotional pieces. Classical warmth that celebrates rather than quiets."
74,Ullaasam,Jakes Bejoy; Sanjith Hegde; Krishna Lasya Muthyala,telugu,telugu film,upbeat;energetic;catchy,0.75,118,0.72,0.78,0.22,2024,"Sanjith Hegde and Krishna Lasya Muthyala bring clean, modern energy to this 2024 Telugu film track — fast tempo, low acousticness, and a hook-forward production style that keeps it celebratory and immediate."
75,Orasaadha,Vivek-Mervin; Ku Karthik,telugu,telugu indie,playful;upbeat;romantic,0.68,108,0.75,0.72,0.35,2017,"Crossed language and regional boundaries through streaming virality, this 2017 Telugu indie track has a clean contemporary feel distinct from mainstream film music — playful, moderately upbeat, and romantically light. The appeal was immediate and lasting."
76,Sahiba,Aditya Rikhari,hindi,hindi indie,upbeat;romantic;melodic,0.62,102,0.58,0.65,0.48,2024,"Heartfelt sincerity characterizes this 2024 Hindi indie romantic track — moderately upbeat, mid-range acousticness, and a melodic clarity that keeps it accessible without being overproduced. A strong entry from the emerging Hindi indie scene."
77,Gun Gun Guna,Udit Narayan; Sunidhi Chauhan; Ajay-Atul,hindi,hindi film,playful;romantic;upbeat,0.72,115,0.78,0.78,0.32,2012,"From the 2012 Hindi film Agneepath, this Ajay-Atul composition delivers playful upbeat romance through the seasoned vocal pairing of Udit Narayan and Sunidhi Chauhan. Fast tempo, warm energy, and a crowd-pleasing nostalgia factor."
78,Girls Like You,Maroon 5,english,pop,romantic;upbeat;catchy,0.55,124,0.45,0.75,0.58,2017,"Unusually warm for its fast BPM — the moderate acousticness and mid-range valence give this 2017 Maroon 5 track a softer romantic texture than typical dance pop. Broadly appealing and well-worn."
79,Gira Gira Gira,Gowtham Bharadwaj; Yamini Ghantasala,telugu,telugu film,romantic;melodic;soulful,0.48,92,0.58,0.52,0.62,2019,"Gowtham Bharadwaj and Yamini Ghantasala bring a natural, unforced chemistry to this 2019 Telugu film romantic duet — warm acoustic texture, gentle mid-tempo, and an emotionally open melodic quality."
80,Kadalalle,Sid Sriram; Aishwarya Ravichandran,telugu,telugu film,romantic;soulful;dreamy,0.48,90,0.62,0.52,0.68,2019,"The contrast between Sid Sriram's strained intensity and Aishwarya Ravichandran's warmer delivery defines this 2019 Telugu film duet — slow, acoustically warm, and suspended in a state of longing and quiet wonder."
81,I Like Me Better,Lauv,english,indie pop,romantic;dreamy;upbeat,0.58,92,0.65,0.68,0.52,2017,"Direct and emotionally honest about how love changes a person — this 2017 indie pop track became a streaming phenomenon by occupying the exact space between introspective and upbeat. Warm and very repeatable."
82,Gira Gira Gingiraagirey,Mickey J Meyer; Ram Miriyala; Kasarla Shyam,telugu,telugu film,upbeat;playful;energetic,0.72,115,0.78,0.78,0.28,2024,"Mickey J Meyer's festive production and Kasarla Shyam's witty wordplay combine in this energetic 2024 Telugu film number — fast tempo, low acousticness, and a celebratory energy that doesn't let up."
83,Cheap Thrills,Sia; Sean Paul,english,dance pop,upbeat;playful;dance,0.82,90,0.78,0.88,0.08,2016,"Ironically minimal production became the point in this 2016 dance pop track — Sia's commanding vocal presence over near-zero acousticness and high danceability. Unashamedly fun and broadly accessible."
84,Nee Neeli Kannullona,Gowtham Bharadwaj,telugu,telugu film,romantic;melodic;soulful,0.45,88,0.55,0.5,0.68,2019,"Gentle and intimate, this 2019 Telugu film romantic track lets the vocal performance carry the emotional weight at a slow-to-mid tempo with warm acousticness. Quiet and attentive — not background music."
85,Beautiful Love,Armaan Malik; Chaitra Ambadipudi,telugu,telugu film,romantic;melodic;uplifting,0.55,98,0.65,0.58,0.52,2018,"Armaan Malik and Chaitra Ambadipudi keep this 2018 Telugu film romantic duet warm and accessible — moderate energy, balanced acousticness, and a gentle melodic uplift that feels positive without being excessive."
86,Inkem Inkem Inkem Kaavaale,Sid Sriram,telugu,telugu film,romantic;soulful;melodic,0.52,95,0.68,0.55,0.58,2018,"The track that introduced Sid Sriram to mainstream Telugu audiences — mid-tempo, acoustically warm, and built around a vocal intensity that made the romantic soulfulness feel urgent rather than soft. An instant beloved classic."
87,Urumulu Nimuvvalai,Rajesh; Sujatha,telugu,telugu film,playful;upbeat;romantic,0.68,108,0.72,0.72,0.42,1998,"Light-hearted and playful, this 1998 Telugu film romantic track captures the carefree romance aesthetic of the era — moderately fast, charming vocal energy, and a festive quality that doesn't take itself seriously."
88,Closer,The Chainsmokers; Halsey,english,electronic pop,upbeat;romantic;catchy,0.72,95,0.65,0.72,0.42,2016,"Defined 2016 through sheer ubiquity — a nostalgia hook, an infectious verse-to-chorus escalation, and vocal contrast between half-spoken verse and melodic chorus. Moderate acousticness gives it more warmth than typical electronic pop."
89,Ramba Ho,Shashwat Sachdev; Madhubanti Bagchi; Bappi Lahiri,hindi,hindi film,upbeat;playful;retro,0.75,118,0.75,0.82,0.25,2025,"From the 2025 Hindi film Kesari Chapter 2, this retro Bollywood revival channels Bappi Lahiri's original composition through Shashwat Sachdev's contemporary production. Madhubanti Bagchi's playful delivery keeps the festive nostalgia feeling alive."
90,Run Down The City Monica,Shashwat Sachdev; Reble; Asha Bhosle; R D Burman,hindi,hindi film,upbeat;retro;catchy,0.78,122,0.72,0.82,0.2,2025,"From the 2025 Hindi film Kesari Chapter 2, this track interpolates R D Burman's original with Asha Bhosle's iconic vocal reimagined in a contemporary Bollywood production. Fast, catchy, and vibrant with heritage."
91,Shararat,Shashwat Sachdev; Madhubanti Bagchi; Jasmine Sandlas,hindi,hindi film,upbeat;playful;catchy,0.75,118,0.75,0.82,0.22,2025,"Madhubanti Bagchi and Jasmine Sandlas trade breezy festive energy across this playful 2025 Hindi film number from Kesari Chapter 2 — fast-tempo, low acousticness, and a hook that earns its place."
92,Naal Nachna,Shashwat Sachdev; Afsana Khan; Reble,hindi,hindi film,upbeat;dance;energetic,0.82,124,0.72,0.85,0.18,2025,"The most kinetically energetic track in the Kesari Chapter 2 (2025) cluster — 124 BPM, low acousticness, and Afsana Khan's powerhouse vocal amplifying the dance momentum. Designed for maximum floor impact."
93,Prema Velluva,Mickey J Meyer; Sid Sriram; Nutana Mohan,telugu,telugu film,romantic;melodic;soulful;uplifting,0.48,92,0.62,0.52,0.62,2024,"Sid Sriram and Nutana Mohan trade soulful warmth across this 2024 Telugu film track produced by Mickey J Meyer — mid-tempo, acoustically warm, and melodically uplifting without overreaching. Emotionally sincere throughout."
94,Adhento Gaani Vunnapaatuga,Anirudh Ravichander,telugu,telugu film,melancholic;soulful;emotional;uplifting,0.45,85,0.32,0.42,0.55,2019,"Melancholy that moves toward quiet resolution rather than staying in sorrow — this 2019 Telugu film ballad has a slow tempo and moderate acousticness that let the emotional arc unfold naturally."
